⺁	〔※⺁※丿※丿※※〕
㔐	〔※⺮※一※丨※刂※〕
㔑	〔※艹※丿※㠯※刀※〕
㔒	〔※山※亻※󰁷※刂※〕
㔓	〔※丿※十※力※󰁥※〕
㔔	〔※力※口※口※󰀘※〕
㔕	〔※气※力※󰁥※※〕
㔖	〔※力※口※乛※󰀅※〕
㔗	〔※弓※󰀯※力※󰁥※〕
㔘	〔※凵※山※力※󰁥※〕
㔙	〔※䒑※廾※力※󰁥※〕
㔚	〔※丿※古※力※󰁥※〕
㔛	〔※士※口※力※󰁣※〕
㔜	〔※爫※孑※力※󰁥※〕
㔝	〔※一※冂※丨※力※〕
㔞	〔※丿※十※󰁩※力※〕
㔟	〔※丿※󰁽※九※力※〕
㔠	〔※日※勹※人※力※〕
㔡	〔※丿※囗※乂※力※〕
㔢	〔※糹※⺈※巴※力※〕
㔣	〔※田※田※田※力※〕
㔤	〔※宀※丿※米※力※〕
㔥	〔※罒※厶※月※力※〕
㔦	〔※丷※王※󰁱※力※〕
㔧	〔※虍※田※皿※力※〕
㔨	〔※勹※󰁩※匕※月※〕
㔩	〔※勹※土※厶※皿※〕
㔪	〔※勹※󰀥※囗※󰁘※〕
㔫	〔※󰁼※匕※󰁫※※〕
㔬	〔※匕※早※󰀬※※〕
㔭	〔※󰁴※日※一※󰁾※〕
㔮	〔※廿※口※夫※匕※〕
㔯	〔※匚※几※口※󰀌※〕
㔰	〔※匚※夕※卜※󰀦※〕
㔱	〔※匚※󰀗※人※󰀦※〕
㔲	〔※匚※󰁱※󰁫※九※〕
㔳	〔※匚※󰁱※󰁫※几※〕
㔴	〔※匚※田※󰁺※八※〕
㔵	〔※匚※巳※巳※八※〕
㔶	〔※匚※立※早※貝※〕
㔷	〔※匚※一※冂※人※〕
㔸	〔※匚※⺁※虍※几※〕
㔹	〔※十※力※󰁥※※〕
㔺	〔※十※七※十※󰀬※〕
㔻	〔※丆※卜※十※󰀬※〕
㔼	〔※扌※亻※󰁷※十※〕
㔽	〔※󰀥※囗※口※󰀘※〕
㔾	〔※㔾※󰂁※乚※※〕
㔿	〔※一※󰁐※丨※󰀵※〕
㕀	〔※由※㔾※󰀅※※〕
㕁	〔※乂※󰁼※厶※卩※〕
㕂	〔※厂※人※丶※乛※〕
㕃	〔※厂※一※廾※󰀵※〕
㕄	〔※厂※一※幺※󰀦※〕
㕅	〔※厂※甲※󰀵※※〕
㕆	〔※厂※古※󰀌※※〕
㕇	〔※厂※立※󰀌※※〕
㕈	〔※厂※亠※󰀔※󰀦※〕
㕉	〔※厂※人※一※口※〕
㕊	〔※厂※甫※󰀦※※〕
㕋	〔※厂※金※󰀌※※〕
㕌	〔※厂※日※一※寸※〕
㕍	〔※厂※亻※󰁷※󰀌※〕
㕎	〔※厂※土※厶※皿※〕
㕏	〔※厂※一※口※十※〕
㕐	〔※厂※臼※勹※灬※〕
㕑	〔※厂※士※口※寸※〕
㕒	〔※厂※丷※王※丶※〕
㕓	〔※厂※󰀹※土※土※〕
㕔	〔※厂※耳※王※心※〕
㕕	〔※厶※厶※󰁧※※〕
㕖	〔※厶※厶※厶※木※〕
㕗	〔※丷※王※󰁛※厶※〕
㕘	〔※厶※厶※厶※小※〕
㕙	〔※厶※八※夂※丶※〕
㕚	〔※又※󰁦※󰀦※※〕
㕛	〔※又※又※󰁧※※〕
㕜	〔※口※丨※又※󰁧※〕
㕝	〔※古※又※󰁧※※〕
㕞	〔※尸※冂※丨※又※〕
㕟	〔※󰀥※冂※艹※又※〕
㕠	〔※冫※亻※󰁷※又※〕
㕡	〔※󰀥※冖※一※又※〕
㕢	〔※󰀥※冖※一※又※〕
㕣	〔※八※口※󰀘※※〕
㕤	〔※口※九※󰁀※※〕
㕥	〔※口※人※󰁶※※〕
㕦	〔※口※大※󰁧※※〕
㕧	〔※口※尸※󰁥※※〕
㕨	〔※口※几※丶※󰁶※〕
㕩	〔※口※三※丨※󰀢※〕
㕪	〔※口※冖※󰁜※󰁀※〕
㕫	〔※口※方※󰁥※※〕
㕬	〔※口※八※厶※󰁶※〕
㕭	〔※口※丿※大※󰁶※〕
㕮	〔※口※八※乂※󰁶※〕
㕯	〔※冂※人※口※󰀌※〕
㕰	〔※口※毛※󰁀※※〕
㕱	〔※口※󰁼※乚※丶※〕
㕲	〔※口※木※󰁶※※〕
㕳	〔※口※乂※凵※󰀢※〕
㕴	〔※口※冖※几※󰁀※〕
㕵	〔※口※王※󰀝※※〕
㕶	〔※口※五※󰀝※※〕
㕷	〔※口※白※󰀝※※〕
㕸	〔※口※立※󰀝※※〕
㕹	〔※口※󰁼※又※丶※〕
㕺	〔※口※口※一※󰁔※〕
㕻	〔※丶※丆※卜※口※〕
㕼	〔※口※勹※乂※󰁐※〕
㕽	〔※口※󰁐※丶※人※〕
㕾	〔※小※口※匕※󰀅※〕
㕿	〔※禾※口※󰀘※※〕
㖀	〔※口※󰁬※󰀟※󰀢※〕
㖁	〔※口※乂※󰁼※厶※〕
㖂	〔※口※日※󰁒※丿※〕
㖃	〔※口※⺁※一※口※〕
㖄	〔※口※丶※丿※丨※〕
㖅	〔※口※戊※一※󰀝※〕
㖆	〔※口※󰀿※󰁺※󰀝※〕
㖇	〔※口※丆※冂※󰀭※〕
㖈	〔※土※丿※匕※口※〕
㖉	〔※口※人※止※󰀝※〕
㖊	〔※口※彐※寸※󰁶※〕
㖋	〔※人※󰀯※口※匕※〕
㖌	〔※亻※九※口※匕※〕
㖍	〔※󰁦※十※口※匕※〕
㖎	〔※口※匕※人※󰀯※〕
㖏	〔※口※日※土※󰀝※〕
㖐	〔※口※口※󰁬※丿※〕
㖑	〔※口※戈※廾※󰀢※〕
㖒	〔※口※丷※弓※丿※〕
㖓	〔※口※夂※三※丨※〕
㖔	〔※口※丿※大※口※〕
㖕	〔※口※辛※󰀢※※〕
㖖	〔※辛※口※󰀘※※〕
㖗	〔※口※山※人※乛※〕
㖘	〔※口※厂※二※󰀖※〕
㖙	〔※力※口※口※匕※〕
㖚	〔※亻※寸※口※匕※〕
㖛	〔※古※口※匕※󰀅※〕
㖜	〔※󰁸※口※匕※󰀅※〕
㖝	〔※未※口※匕※󰀅※〕
㖞	〔※口※口※冂※人※〕
㖟	〔※口※爫※冖※又※〕
㖠	〔※口※大※二※小※〕
㖡	〔※口※亠※亻※丶※〕
㖢	〔※口※广※止※匕※〕
㖣	〔※口※立※口※󰀝※〕
㖤	〔※口※了※󰀪※凵※〕
㖥	〔※口※囗※禾※󰁶※〕
