⺁	〔※⺁※丿※丿※※〕
㙭	〔※土※厂※䒑※人※〕
㙮	〔※土※⺮※人※口※〕
㙯	〔※土※八※土※厶※〕
㙰	〔※⺈※用※刀※土※〕
㙱	〔※口※一※󰁔※土※〕
㙲	〔※土※亠※󰁲※󰁷※〕
㙳	〔※土※戊※一※心※〕
㙴	〔※土※⺈※厂※言※〕
㙵	〔※土※󰁸※冂※土※〕
㙶	〔※󰁸※⺌※冖※土※〕
㙷	〔※土※日※幺※灬※〕
㙸	〔※土※亻※业※夫※〕
㙹	〔※土※艹※罒※夕※〕
㙺	〔※土※匚※口※貝※〕
㙻	〔※土※广※日※土※〕
㙼	〔※土※田※田※田※〕
㙽	〔※土※大※丆※日※〕
㙾	〔※土※󰀗※乂※子※〕
㙿	〔※土※丷※王※丶※〕
㚀	〔※土※虍※一※戈※〕
㚁	〔※土※土※土※儿※〕
㚂	〔※土※一※口※󰀔※〕
㚃	〔※士※冖※乂※䒑※〕
㚄	〔※士※冖※田※󰁾※〕
㚅	〔※夂※一※丿※󰁽※〕
㚆	〔※亠※日※夂※󰁧※〕
㚇	〔※乂※凵※八※夂※〕
㚈	〔※夕※十※󰀢※※〕
㚉	〔※乃※夕※夕※󰁧※〕
㚊	〔※夕※夕※亠※人※〕
㚋	〔※夕※夕※󰀼※口※〕
㚌	〔※夕※夕※日※木※〕
㚍	〔※夕※夕※口※貝※〕
㚎	〔※大※凵※󰀬※※〕
㚏	〔※大※廾※󰀬※※〕
㚐	〔※大※大※󰁧※※〕
㚑	〔※彐※大※󰁧※※〕
㚒	〔※大※丿※丶※丶※〕
㚓	〔※大※木※󰁧※※〕
㚔	〔※大※䒑※十※󰀬※〕
㚕	〔※大※弓※󰀯※󰀬※〕
㚖	〔※白※大※󰁧※※〕
㚗	〔※大※󰀐※一※󰀘※〕
㚘	〔※夫※夫※󰁶※※〕
㚙	〔※力※口※大※󰁧※〕
㚚	〔※大※夕※口※󰀘※〕
㚛	〔※大※匕※日※󰀘※〕
㚜	〔※大※戈※口※󰀞※〕
㚝	〔※大※亻※土※土※〕
㚞	〔※大※木※木※󰁧※〕
㚟	〔※⺈※口※󰁴※大※〕
㚠	〔※大※丷※王※灬※〕
㚡	〔※大※丁※口※口※〕
㚢	〔※亻※女※󰀝※※〕
㚣	〔※女※女※󰀘※※〕
㚤	〔※女※󰀁※丶※󰁶※〕
㚥	〔※女※一※󰀛※󰀢※〕
㚦	〔※女※一※󰀯※󰀢※〕
㚧	〔※女※广※󰁥※※〕
㚨	〔※女※⺄※十※󰀢※〕
㚩	〔※女※冂※二※󰀝※〕
㚪	〔※女※毛※󰁀※※〕
㚫	〔※女※乃※󰂃※󰁶※〕
㚬	〔※女※勹※冫※󰀝※〕
㚭	〔※女※󰁼※乚※丶※〕
㚮	〔※女※冖※几※󰁀※〕
㚯	〔※女※󰁰※乂※󰁶※〕
㚰	〔※女※丆※卜※一※〕
㚱	〔※女※丘※󰀝※※〕
㚲	〔※女※󰀥※口※󰀝※〕
㚳	〔※女※力※口※󰀝※〕
㚴	〔※女※󰁼※冂※丨※〕
㚵	〔※女※夂※󰁦※󰁶※〕
㚶	〔※女※㠯※󰀝※※〕
㚷	〔※女※人※小※󰁶※〕
㚸	〔※女※󰂁※一※口※〕
㚹	〔※女※󰁚※丿※卩※〕
㚺	〔※女※乃※子※󰀝※〕
㚻	〔※田※女※󰀘※※〕
㚼	〔※女※田※󰀝※※〕
㚽	〔※工※一※󰁔※女※〕
㚾	〔※女※口※儿※󰁀※〕
㚿	〔※女※勹※巳※󰁀※〕
㛀	〔※女※⺈※彐※󰀝※〕
㛁	〔※女※一※丷※十※〕
㛂	〔※女※⺁※巴※󰁀※〕
㛃	〔※三※丨※刀※女※〕
㛄	〔※女※亠※󰀔※󰁶※〕
㛅	〔※女※耳※󰀝※※〕
㛆	〔※女※乃※木※󰁶※〕
㛇	〔※女※广※土※󰀝※〕
㛈	〔※女※土※丿※󰁔※〕
㛉	〔※女※西※󰀝※※〕
㛊	〔※女※几※木※󰁶※〕
㛋	〔※女※人※⺗※󰁶※〕
㛌	〔※女※厶※丿※󰀟※〕
㛍	〔※女※大※人※人※〕
㛎	〔※女※口※口※󰀝※〕
㛏	〔※女※一※氺※丶※〕
㛐	〔※女※一※日※乂※〕
㛑	〔※󰀥※夕※又※女※〕
㛒	〔※女※一※口※䒑※〕
㛓	〔※女※乂※󰁼※丨※〕
㛔	〔※女※夂※三※丨※〕
㛕	〔※女※口※巴※󰁀※〕
㛖	〔※女※厶※八※夂※〕
㛗	〔※女※人※人※土※〕
㛘	〔※女※十※冖※子※〕
㛙	〔※女※辛※󰀢※※〕
㛚	〔※女※󰁻※󰀒※󰀢※〕
㛛	〔※女※丿※󰀽※丿※〕
㛜	〔※亻※丨※攵※女※〕
㛝	〔※女※貝※󰁶※※〕
㛞	〔※女※王※廾※󰀢※〕
㛟	〔※女※⺈※󰀿※大※〕
㛠	〔※女※门※日※󰀝※〕
㛡	〔※女※宀※二※儿※〕
㛢	〔※女※禾※乃※󰁥※〕
㛣	〔※女※口※贝※󰁶※〕
㛤	〔※女※一※冂※丶※〕
㛥	〔※女※水※日※󰀝※〕
㛦	〔※女※木※木※󰁶※〕
㛧	〔※女※山※石※󰀝※〕
㛨	〔※女※⺶※乚※󰁀※〕
㛩	〔※女※亠※厶※月※〕
㛪	〔※女※大※日※乚※〕
㛫	〔※女※日※勹※󰁤※〕
㛬	〔※女※土※八※土※〕
㛭	〔※女※󰁺※日※󰀝※〕
㛮	〔※女※宀※火※又※〕
㛯	〔※女※⺈※口※力※〕
㛰	〔※女※󰁂※󰀁※日※〕
㛱	〔※女※田※一※󰀖※〕
㛲	〔※女※丆※貝※󰁶※〕
㛳	〔※亠※丷※冖※女※〕
㛴	〔※女※巛※丿※乂※〕
㛵	〔※女※爫※冂※土※〕
㛶	〔※女※山※󰁼※火※〕
㛷	〔※禾※󰁼※乚※女※〕
㛸	〔※女※士※口※䒑※〕
㛹	〔※女※亻※一※乂※〕
㛺	〔※女※立※日※󰀝※〕
㛻	〔※女※大※土※土※〕
㛼	〔※女※丿※十※臼※〕
㛽	〔※女※宀※米※󰁶※〕
㛾	〔※女※戊※一※口※〕
㛿	〔※女※一※󰀶※丨※〕
㜀	〔※女※木※目※󰀝※〕
㜁	〔※女※木※日※一※〕
㜂	〔※土※土※寸※女※〕
㜃	〔※女※亻※言※󰀝※〕
㜄	〔※女※󰁰※丿※虫※〕
㜅	〔※女※亠※幺※田※〕
㜆	〔※女※米※辶※󰁶※〕
㜇	〔※女※土※土※心※〕
㜈	〔※󰁻※乛※亅※女※〕
㜉	〔※女※巛※口※巴※〕
㜊	〔※女※尸※󰁺※󰀖※〕
㜋	〔※女※䒑※八※皿※〕
㜌	〔※士※冖※一※又※〕
㜍	〔※女※广※󰁬※口※〕
㜎	〔※女※爫※幺※大※〕
㜏	〔※女※口※貝※󰁶※〕
㜐	〔※女※山※一※䒑※〕
㜑	〔※氵※甫※女※󰀘※〕
㜒	〔※女※臼※廾※󰀢※〕
㜓	〔※女※艹※人※口※〕
㜔	〔※女※立※口※儿※〕
㜕	〔※女※車※辶※󰁶※〕
㜖	〔※女※一※󰀿※日※〕
㜗	〔※女※厶※厶※彡※〕
㜘	〔※女※虍※󰀐※一※〕
㜙	〔※女※󰁙※󰁴※匕※〕
㜚	〔※女※宀※亻※日※〕
㜛	〔※女※車※⺈※人※〕
㜜	〔※女※󰁽※󰁡※攵※〕
㜝	〔※女※人※丶※一※〕
㜞	〔※車※斤※女※󰀘※〕
㜟	〔※女※乛※耳※攵※〕
㜠	〔※女※山※亻※󰁷※〕
㜡	〔※女※彳※人※󰁾※〕
㜢	〔※女※󰀻※女※󰀝※〕
㜣	〔※女※󰁝※犬※灬※〕
㜤	〔※女※覀※早※󰀢※〕
㜥	〔※女※罒※貝※󰁶※〕
㜦	〔※女※彐※工※寸※〕
㜧	〔※女※厂※䒑※人※〕
㜨	〔※女※尸※氺※󰀟※〕
㜩	〔※女※丿※󰀿※大※〕
㜪	〔※立※朩※斤※女※〕
㜫	〔※女※彳※山※攵※〕
㜬	〔※女※⺈※厂※言※〕
㜭	〔※女※⺌※冖※田※〕
㜮	〔※女※匚※丨※皿※〕
㜯	〔※女※匚※丨※灬※〕
㜰	〔※女※白※幺※木※〕
㜱	〔※女※斤※斤※貝※〕
㜲	〔※女※吂※月※丶※〕
㜳	〔※女※亠※罒※󰀔※〕
㜴	〔※女※一※󰀿※目※〕
㜵	〔※女※亠※󰀋※󰀔※〕
㜶	〔※女※⺈※口※丶※〕
㜷	〔※弓※一※八※女※〕
㜸	〔※艹※丿※㠯※女※〕
㜹	〔※女※目※目※󰁷※〕
㜺	〔※女※丿※土※貝※〕
㜻	〔※女※言※糹※心※〕
㜼	〔※女※又※又※一※〕
㜽	〔※巛※子※󰀘※※〕
㜾	〔※孑※人※󰀯※󰀢※〕
㜿	〔※孑※󰁻※乛※亅※〕
㝀	〔※母※子※󰀝※※〕
㝁	〔※勹※日※子※󰀘※〕
㝂	〔※孑※扌※斤※󰀢※〕
㝃	〔※孑※⺈※口※󰁜※〕
㝄	〔※󰁸※孑※一※乚※〕
㝅	〔※士※冖※一※又※〕
㝆	〔※孑※士※口※口※〕
㝇	〔※󰁸※孑※󰁸※子※〕
㝈	〔※言※糹※糹※子※〕
㝉	〔※宀※一※󰀘※※〕
㝊	〔※宀※又※󰁧※※〕
㝋	〔※宀※了※󰀬※※〕
㝌	〔※宀※󰁛※󰂃※󰁧※〕
㝍	〔※宀※一※󰁔※一※〕
㝎	〔※宀※之※󰁧※※〕
㝏	〔※宀※人※󰀯※󰀬※〕
㝐	〔※宀※八※厶※󰁧※〕
㝑	〔※宀※方※󰁣※※〕
㝒	〔※宀※古※󰀘※※〕
㝓	〔※宀※人※一※口※〕
㝔	〔※宀※六※乂※󰁧※〕
㝕	〔※宀※心※又※󰁧※〕
㝖	〔※宀※夕※夕※󰁧※〕
㝗	〔※宀※丶※艮※󰁧※〕
㝘	〔※宀※言※󰀘※※〕
㝙	〔※宀※王※一※八※〕
㝚	〔※宀※丿※󰀥※廴※〕
㝛	〔※宀※亻※一※人※〕
㝜	〔※宀※󰁺※日※󰀘※〕
㝝	〔※宀※木※木※󰁧※〕
㝞	〔※宀※一※󰀚※一※〕
㝟	〔※宀※一※目※儿※〕
㝠	〔※宀※日※六※󰁧※〕
㝡	〔※宀※耳※又※󰁧※〕
㝢	〔※宀※丿※口※丶※〕
㝣	〔※宀※三※丨※大※〕
㝤	〔※宀※󰀀※冂※土※〕
㝥	〔※宀※爿※米※󰁧※〕
㝦	〔※宀※亻※󰁷※乃※〕
㝧	〔※宀※女※人※土※〕
㝨	〔※宀※土※口※󰀔※〕
㝩	〔※宀※广※󰁬※氺※〕
㝪	〔※宀※土※䒑※丶※〕
㝫	〔※宀※阝※夂※󰁽※〕
㝬	〔※宀※三※丨※夫※〕
㝭	〔※宀※忄※日※󰁽※〕
㝮	〔※宀※凵※山※又※〕
㝯	〔※宀※丿※大※口※〕
㝰	〔※宀※丿※目※方※〕
㝱	〔※宀※爿※艹※夕※〕
㝲	〔※宀※爿※艹※丨※〕
㝳	〔※一※⺗※󰀦※※〕
㝴	〔※二※儿※寸※󰀦※〕
㝵	〔※日※一※寸※󰁧※〕
㝶	〔※罒※儿※寸※󰁧※〕
㝷	〔※彐※工※九※寸※〕
㝸	〔※小※白※儿※󰀅※〕
㝹	〔※小※丿※⺈※丶※〕
㝺	〔※䒑※󰁬※󰀭※丿※〕
㝻	〔※廿※口※󰁽※丿※〕
㝼	〔※󰁼※乚※一※󰀛※〕
㝽	〔※󰁼※乚※水※󰀦※〕
㝾	〔※󰁼※乚※󰁼※工※〕
㝿	〔※󰁼※乚※皮※󰀦※〕
㞀	〔※󰁼※乚※󰁼※火※〕
㞁	〔※󰁼※乚※日※匕※〕
㞂	〔※󰁼※乚※爫※女※〕
㞃	〔※八※人※口※丶※〕
㞄	〔※󰁼※乚※大※乚※〕
㞅	〔※󰁼※乚※日※木※〕
㞆	〔※󰁼※乚※大※口※〕
㞇	〔※󰁼※乚※田※󰀖※〕
㞈	〔※󰁼※乚※丶※艹※〕
㞉	〔※󰁼※乚※⺶※工※〕
㞊	〔※凵※山※二※乚※〕
㞋	〔※尸※又※󰀦※※〕
㞌	〔※尸※子※󰀌※※〕
㞍	〔※尸※九※丶※󰀦※〕
㞎	〔※尸※巴※󰁫※※〕
㞏	〔※尸※丿※之※󰀦※〕
㞐	〔※尸※立※󰀌※※〕
㞑	〔※尸※二※二※乚※〕
㞒	〔※尸※丿※目※󰀌※〕
㞓	〔※尸※匕※日※󰀌※〕
㞔	〔※尸※夕※夕※󰀦※〕
㞕	〔※尸※八※月※󰀌※〕
㞖	〔※尸※木※冂※󰁫※〕
㞗	〔※尸※一※氺※丶※〕
㞘	〔※尸※一※󰀓※丶※〕
㞙	〔※尸※毛※水※󰀦※〕
㞚	〔※尸※丿※十※臼※〕
㞛	〔※尸※彳※匕※日※〕
㞜	〔※尸※彳※禾※女※〕
㞝	〔※戊※上※小※尸※〕
㞞	〔※尸※彳※人※󰁾※〕
㞟	〔※尸※丷※西※大※〕
㞠	〔※尸※大※丷※小※〕
㞡	〔※尸※工※工※󰀔※〕
㞢	〔※凵※丨※一※󰀌※〕
㞣	〔※凵※丨※八※刀※〕
㞤	〔※山※人※󰁧※※〕
㞥	〔※山※丿※󰂃※󰁧※〕
㞦	〔※山※几※󰁀※※〕
㞧	〔※山※乃※󰁣※※〕
㞨	〔※山※子※󰀝※※〕
㞩	〔※山※几※丶※󰁧※〕
㞪	〔※󰁭※山※󰀬※※〕
㞫	〔※山※之※󰁧※※〕
㞬	〔※山※工※󰀘※※〕
㞭	〔※大※山※󰀬※※〕
㞮	〔※山※⺈※丶※󰁧※〕
㞯	〔※己※山※󰀬※※〕
㞰	〔※山※󰁿※十※󰀢※〕
㞱	〔※山※日※󰀘※※〕
㞲	〔※山※口※丨※󰀢※〕
㞳	〔※山※󰁦※十※󰀢※〕
㞴	〔※山※󰁚※󰀁※󰁀※〕
㞵	〔※山※文※󰁧※※〕
㞶	〔※山※文※󰁶※※〕
㞷	〔※凵※丨※王※󰀘※〕
㞸	〔※山※丆※卜※󰁧※〕
㞹	〔※山※丁※口※󰀝※〕
㞺	〔※山※󰁿※大※󰁧※〕
㞻	〔※山※口※一※󰁔※〕
㞼	〔※了※󰀩※山※󰀬※〕
㞽	〔※山※戈※󰁐※󰁀※〕
㞾	〔※山※尸※匕※󰁀※〕
㞿	〔※山※土※乂※󰁧※〕
㟀	〔※禾※山※󰀬※※〕
㟁	〔※山※厂※干※󰀢※〕
㟂	〔※山※母※󰁶※※〕
㟃	〔※山※󰂁※一※口※〕
㟄	〔※山※羊※󰀢※※〕
㟅	〔※山※乂※凵※儿※〕
㟆	〔※山※亻※󰁳※十※〕
㟇	〔※山※人※人※土※〕
㟈	〔※山※一※氺※丶※〕
㟉	〔※山※宀※丿※󰀟※〕
㟊	〔※山※爫※子※󰀝※〕
㟋	〔※山※丷※口※儿※〕
㟌	〔※山※󰁼※乚※丶※〕
㟍	〔※山※丶※艮※󰁶※〕
㟎	〔※山※爫※女※󰀝※〕
㟏	〔※山※人※丶※口※〕
㟐	〔※山※艹※亠※󰁐※〕
㟑	〔※山※十※冖※子※〕
㟒	〔※山※󰁬※丿※口※〕
㟓	〔※山※乂※󰁼※丨※〕
㟔	〔※山※人※丶※口※〕
㟕	〔※山※口※󰁦※十※〕
㟖	〔※山※王※廾※󰀬※〕
㟗	〔※山※八※刀※刀※〕
㟘	〔※山※󰀼※土※口※〕
㟙	〔※山※󰁺※日※󰀝※〕
㟚	〔※木※十※又※山※〕
㟛	〔※山※扌※甘※󰀘※〕
㟜	〔※山※弓※⺈※小※〕
㟝	〔※山※立※口※󰀝※〕
㟞	〔※山※戈※戈※󰁶※〕
㟟	〔※山※󰁺※八※㔾※〕
㟠	〔※山※冂※䒑※山※〕
㟡	〔※山※丷※夫※㔾※〕
㟢	〔※山※大※丁※口※〕
㟣	〔※山※木※八※厶※〕
㟤	〔※山※󰁭※氺※󰁧※〕
㟥	〔※山※厶※大※彡※〕
㟦	〔※山※冖※車※󰀬※〕
㟧	〔※山※口※口※󰁔※〕
㟨	〔※山※山※丆※󰀭※〕
㟩	〔※󰁂※󰀁※攵※山※〕
㟪	〔※山※田※一※󰀖※〕
㟫	〔※山※白※水※󰁶※〕
㟬	〔※山※臼※丨※又※〕
㟭	〔※山※󰁂※󰀁※日※〕
㟮	〔※山※宀※八※犬※〕
㟯	〔※山※宀※夂※口※〕
㟰	〔※山※冖※日※六※〕
㟱	〔※山※丷※王※灬※〕
㟲	〔※山※厂※白※小※〕
㟳	〔※山※覀※木※󰁶※〕
㟴	〔※山※白※󰁜※厶※〕
㟵	〔※山※罒※一※止※〕
㟶	〔※山※厂※白※小※〕
㟷	〔※山※艹※人※口※〕
㟸	〔※山※白※大※十※〕
㟹	〔※山※耳※󰁚※卩※〕
㟺	〔※山※󰀻※女※󰀘※〕
㟻	〔※車※斤※山※󰀬※〕
㟼	〔※山※󰁽※󰁡※攵※〕
㟽	〔※山※覀※二※小※〕
㟾	〔※山※广※󰁬※丨※〕
㟿	〔※山※艹※犬※廾※〕
㠀	〔※󰁟※灬※山※󰀬※〕
㠁	〔※山※厶※厶※彡※〕
㠂	〔※山※󰁽※󰁡※攵※〕
㠃	〔※山※亠※丷※古※〕
㠄	〔※山※羽※白※󰀘※〕
㠅	〔※山※彳※󰁿※夂※〕
㠆	〔※山※口※口※十※〕
㠇	〔※山※󰁸※小※丶※〕
㠈	〔※山※門※王※󰀝※〕
㠉	〔※山※立※日※土※〕
㠊	〔※山※虍※业※󰀝※〕
㠋	〔※山※口※口※󰁔※〕
㠌	〔※山※󰀎※八※人※〕
㠍	〔※山※亻※󰁷※木※〕
㠎	〔※山※亻※󰁷※木※〕
㠏	〔※山※艹※一※󰀟※〕
㠐	〔※山※丿※大※口※〕
㠑	〔※山※罒※丨※三※〕
㠒	〔※山※覀※二※刂※〕
㠓	〔※山※艹※冖※󰀓※〕
㠔	〔※山※尸※口※辛※〕
㠕	〔※山※阝※丿※厶※〕
㠖	〔※山※丷※王※丶※〕
㠗	〔※山※丿※󰀿※大※〕
㠘	〔※山※󰀗※一※八※〕
㠙	〔※山※󰁸※冖※󰀓※〕
㠚	〔※山※业※丷※寸※〕
㠛	〔※山※艹※亻※又※〕
㠜	〔※山※匕※󰁿※󰁾※〕
㠝	〔※山※夫※夫※貝※〕
㠞	〔※彳※山※一※山※〕
㠟	〔※山※禾※勹※氺※〕
㠠	〔※山※虍※田※皿※〕
㠡	〔※山※亠※󰀋※󰀔※〕
㠢	〔※山※白※󰁜※󰀔※〕
㠣	〔※山※厂※禾※止※〕
㠤	〔※山※亠※口※󰀔※〕
㠥	〔※山※田※田※土※〕
㠦	〔※山※山※三※䒑※〕
㠧	〔※山※广※木※三※〕
㠨	〔※山※木※乂※寸※〕
㠩	〔※人※󰁐※󰀸※󰀅※〕
㠪	〔※一※上※󰀌※※〕
㠫	〔※工※几※丶※夫※〕
㠬	〔※工※口※夫※󰁧※〕
㠭	〔※工※工※工※工※〕
㠮	〔※䒑※业※日※工※〕
㠯	〔※㠯※丨※󰁈※一※〕
㠰	〔※力※口※己※󰀅※〕
㠱	〔※己※󰀎※八※󰁧※〕
㠲	〔※冂※丨※匕※󰁀※〕
㠳	〔※丿※󰂃※冂※丨※〕
㠴	〔※冂※丨※刀※丶※〕
㠵	〔※亠※󰁐※冂※丨※〕
㠶	〔※冂※丨※丿※几※〕
㠷	〔※冂※丨※乃※󰂃※〕
㠸	〔※冂※丨※夫※󰁶※〕
㠹	〔※冂※丨※人※󰀯※〕
㠺	〔※冂※丨※小※丿※〕
㠻	〔※土※丿※冂※丨※〕
㠼	〔※冂※丨※斤※󰀢※〕
㠽	〔※冂※丨※夂※󰁦※〕
㠾	〔※夕※㔾※冂※丨※〕
㠿	〔※止※匕※冂※丨※〕
㡀	〔※㡀※丶※丿※丶※〕
㡁	〔※冂※丨※大※󰁔※〕
㡂	〔※一※夕※刂※丨※〕
㡃	〔※冂※丨※人※󰀸※〕
㡄	〔※冂※丨※勹※日※〕
㡅	〔※冂※丨※夕※夕※〕
㡆	〔※冂※丨※亠※󰀸※〕
㡇	〔※冂※丨※耳※乚※〕
㡈	〔※冂※丨※⺈※󰁜※〕
㡉	〔※冂※丨※弓※幺※〕
㡊	〔※冂※丨※⺈※臼※〕
㡋	〔※冂※丨※大※乚※〕
㡌	〔※冂※丨※󰀰※月※〕
㡍	〔※白※大※冂※丨※〕
㡎	〔※冂※丨※厶※彡※〕
㡏	〔※冂※丨※人※刂※〕
㡐	〔※冂※丨※䒑※刂※〕
㡑	〔※禾※火※冂※丨※〕
㡒	〔※冂※丨※⺁※目※〕
㡓	〔※冂※丨※冖※車※〕
㡔	〔※󰁻※乛※亅※丨※〕
㡕	〔※冂※丨※艹※大※〕
㡖	〔※冂※丨※丿※土※〕
㡗	〔※冂※丨※⺁※几※〕
㡘	〔※冂※丨※䒑※八※〕
㡙	〔※冂※丨※丿※匕※〕
㡚	〔※冂※丨※󰀀※土※〕
㡛	〔※冂※丨※艹※󰀸※〕
㡜	〔※冂※丨※󰁯※小※〕
㡝	〔※冂※丨※夂※辶※〕
㡞	〔※冂※丨※󰀻※女※〕
㡟	〔※冂※丨※一※日※〕
㡠	〔※冂※丨※癶※䒑※〕
㡡	〔※冂※丨※厂※寸※〕
㡢	〔※冂※丨※日※󰁡※〕
㡣	〔※亠※丷※冖※三※〕
㡤	〔※冂※丨※业※未※〕
㡥	〔※冂※丨※爫※心※〕
㡦	〔※冂※丨※宀※貝※〕
㡧	〔※冂※丨※宀※䒑※〕
㡨	〔※冂※丨※人※󰀞※〕
㡩	〔※言※糹※糹※丨※〕
㡪	〔※冂※丨※爫※夂※〕
㡫	〔※幺※日※勹※󰁐※〕
㡬	〔※幺※幺※戈※󰁡※〕
㡭	〔※幺※幺※一※󰁐※〕
㡮	〔※幺※幺※戈※气※〕
㡯	〔※广※丿※七※󰁫※〕
㡰	〔※广※一※󰀛※󰀵※〕
㡱	〔※广※󰁛※󰂃※󰀦※〕
㡲	〔※广※戈※󰀦※※〕
㡳	〔※广※󰁚※󰀁※󰁫※〕
㡴	〔※广※立※󰀌※※〕
㡵	〔※广※人※丶※󰁻※〕
㡶	〔※广※口※八※󰀦※〕
㡷	〔※广※木※一※󰀌※〕
㡸	〔※广※󰁿※丨※二※〕
㡹	〔※广※󰀐※一※󰀌※〕
㡺	〔※广※日※一※󰀌※〕
㡻	〔※广※󰁚※丿※卩※〕
㡼	〔※广※日※󰁒※丿※〕
㡽	〔※广※󰁬※󰀟※󰀵※〕
㡾	〔※广※艮※󰀦※※〕
㡿	〔※广※䒑※凵※丿※〕
㢀	〔※广※木※冂※󰁫※〕
㢁	〔※广※夕※夕※󰀦※〕
㢂	〔※广※丿※㠯※󰀌※〕
㢃	〔※广※丶※艮※󰀦※〕
㢄	〔※广※一※口※䒑※〕
